City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
126,Flinders,AU,-34.5833,150.8552,64.38,55,1,11.01,clear sky
127,Mahibadhoo,MV,3.7833,72.9667,81.73,76,100,17.29,overcast clouds
128,Yagodnoye,RU,62.55,149.6667,68.47,54,81,10.65,broken clouds
129,Senneterre,CA,48.3835,-77.2328,61.23,65,3,5.23,clear sky
130,Yizhivtsi,UA,48.0396,25.6623,66.85,83,0,3.4,clear sky
131,Raymond,US,43.9015,-70.4703,78.75,77,73,1.41,broken clouds
132,Constantine,DZ,36.365,6.6147,71.01,83,20,4.61,few clouds
133,Hamilton,US,39.1834,-84.5333,77.88,88,20,6.91,few clouds
134,Dunedin,NZ,-45.8742,170.5036,54.01,78,100,2.51,light rain
135,Arlit,NE,18.7369,7.3853,88.75,38,4,7.38,clear sky
136,Hualmay,PE,-11.0964,-77.6139,62.2,81,56,13.65,broken clouds
137,Tura,IN,25.5198,90.2201,75.06,97,97,6.11,overcast clouds
138,Yumen,CN,40.2833,97.2,78.8,29,100,16.33,overcast clouds
139,Touros,BR,-5.1989,-35.4608,74.14,84,17,11.97,few clouds
140,Westport,US,41.1415,-73.3579,82.27,85,0,6.91,clear sky
141,Ljutomer,SI,46.5208,16.1975,70.79,83,2,3.56,clear sky
142,Port Macquarie,AU,-31.4333,152.9167,69.89,36,3,7.83,clear sky
143,Carnarvon,AU,-24.8667,113.6333,61.27,48,0,12.33,clear sky
144,Acajutla,SV,13.5928,-89.8275,79.7,84,100,5.75,overcast clouds
145,Upernavik,GL,72.7868,-56.1549,40.21,93,76,9.75,broken clouds
146,Srednekolymsk,RU,67.45,153.6833,61.99,49,100,3.11,overcast clouds
147,Boqueirao,BR,-7.5,-36.1333,67.55,95,5,5.26,clear sky
148,Athabasca,CA,54.7169,-113.2854,64.81,62,95,5.99,overcast clouds
149,Waipawa,NZ,-41.4122,175.5153,55.11,72,100,16.4,overcast clouds
150,Ennis,IE,52.8436,-8.9864,51.73,82,20,2.3,few clouds
151,Pangnirtung,CA,66.1451,-65.7125,41.76,97,100,1.63,light rain
152,San Jose De Rio Tinto,HN,14.9333,-85.7,70.59,88,100,3.09,overcast clouds
153,Bowmore,US,34.9421,-79.3031,85.91,74,20,5.75,few clouds
154,Tanete,ID,-3.9443,119.7848,81.82,67,18,4.25,few clouds
155,Ketchikan,US,55.3422,-131.6461,64.87,72,100,10.36,overcast clouds
156,Coromandel,BR,-18.4733,-47.2003,68.72,36,2,1.83,clear sky
157,Hasaki,JP,35.7333,140.8333,79.29,71,100,6.31,overcast clouds
158,Ligayan,PH,4.6533,119.4706,82.22,78,70,14.36,broken clouds
159,Honningsvag,NO,70.9821,25.9704,49.75,76,0,10.36,clear sky
160,Saint Anthony,US,45.0205,-93.218,84.92,59,0,16.11,clear sky
161,Broome,US,42.2506,-75.833,74.86,90,0,4.0,clear sky
162,Maunabo,PR,18.0072,-65.8993,82.71,87,42,12.35,scattered clouds
163,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,83,0,12.66,clear sky
164,West Chester,US,39.9607,-75.6055,82.11,84,9,5.99,clear sky
165,Wilmington,US,34.2257,-77.9447,82.31,77,0,3.44,clear sky
166,Esperance,AU,-33.8667,121.9,51.98,75,70,11.52,broken clouds
167,Ahipara,NZ,-35.1667,173.1667,61.54,68,100,7.36,overcast clouds
168,Magdagachi,RU,53.45,125.8,54.55,97,100,14.29,light rain
169,Lakes Entrance,AU,-37.8811,147.981,60.17,60,7,8.05,clear sky
170,Acapulco,MX,16.8634,-99.8901,84.02,70,75,6.91,broken clouds
171,El Carrizo,MX,24.0261,-106.8814,82.38,79,100,4.83,overcast clouds
172,Johnson City,US,36.3134,-82.3535,75.31,77,0,3.44,clear sky
173,Kismayo,SO,-0.3582,42.5454,74.41,78,10,18.16,clear sky
174,Machacamarca,BO,-18.1667,-67.0333,43.99,69,64,7.81,broken clouds
175,Great Yarmouth,GB,52.6083,1.7305,55.65,68,7,6.96,clear sky
176,Staroutkinsk,RU,57.2302,59.3348,60.76,74,52,3.31,broken clouds
177,Siavonga,ZM,-16.5382,28.7088,65.75,50,0,3.42,clear sky
178,Faya,SA,18.3851,42.4509,66.31,71,100,4.0,overcast clouds
179,Hearst,CA,49.6835,-83.6665,73.65,53,99,10.27,overcast clouds
180,Guarapari,BR,-20.6667,-40.4975,72.9,69,0,7.31,clear sky
181,Mahebourg,MU,-20.4081,57.7,66.49,82,75,4.61,light intensity shower rain
182,Tual,ID,-5.6667,132.75,79.34,83,100,9.22,overcast clouds
183,Coihaique,CL,-45.5752,-72.0662,30.81,93,20,1.14,few clouds
184,Airai,TL,-8.9266,125.4092,69.26,62,48,3.02,scattered clouds
185,Indianola,US,41.3581,-93.5574,87.6,53,0,13.31,clear sky
186,Arraial Do Cabo,BR,-22.9661,-42.0278,70.12,82,28,18.79,scattered clouds
187,Pafos,CY,34.7667,32.4167,74.98,73,20,8.05,few clouds
188,Brownsville,US,25.9018,-97.4975,87.1,72,20,13.8,few clouds
189,Cidreira,BR,-30.1811,-50.2056,51.53,74,1,8.03,clear sky
190,Phibun Mangsahan,TH,15.2447,105.2291,82.38,92,100,7.23,overcast clouds
191,Yokadouma,CM,3.5167,15.05,67.95,98,58,1.83,broken clouds
192,Lima,PE,-12.0432,-77.0282,59.25,82,100,12.66,overcast clouds
193,Vanimo,PG,-2.6741,141.3028,81.86,70,100,3.13,overcast clouds
194,Fare,PF,-16.7,-151.0167,76.95,79,55,23.15,moderate rain
195,Aklavik,CA,68.2191,-135.0107,78.89,31,89,10.69,overcast clouds
196,Ribeira Grande,PT,38.5167,-28.7,75.74,85,94,8.46,overcast clouds
197,Kokopo,PG,-4.352,152.2633,83.79,67,100,5.93,overcast clouds
198,Cabedelo,BR,-6.9811,-34.8339,72.27,82,5,10.76,clear sky
199,Chuy,UY,-33.6971,-53.4616,45.21,91,0,4.32,clear sky
200,Sukhobezvodnoye,RU,57.0491,44.8891,62.01,83,15,2.68,few clouds
201,Sosnovo-Ozerskoye,RU,52.5249,111.5418,59.13,51,7,12.95,clear sky
202,Katsuura,JP,35.1333,140.3,77.18,72,100,5.95,overcast clouds
203,Abapo,BO,-18.8333,-63.4667,61.79,53,100,0.85,overcast clouds
204,Bolu,TR,40.6667,31.5833,62.78,94,21,2.91,few clouds
205,Kayunga,UG,0.7025,32.8886,67.32,77,100,2.53,overcast clouds
206,Itarema,BR,-2.9248,-39.9167,77.83,83,1,14.07,clear sky
207,Henties Bay,NA,-22.116,14.2845,56.28,84,3,3.27,clear sky
208,Quatre Cocos,MU,-20.2078,57.7625,66.31,66,17,11.52,few clouds
209,Mount Isa,AU,-20.7333,139.5,73.17,28,40,12.66,scattered clouds
210,Polunochnoye,RU,60.8697,60.4153,63.57,63,100,3.76,overcast clouds
211,Malanje,AO,-9.5402,16.341,63.57,67,75,3.78,broken clouds
212,Diego De Almagro,CL,-26.3667,-70.05,53.04,51,0,2.33,clear sky
213,Derzhavinsk,KZ,51.1,66.3167,62.13,58,87,8.81,overcast clouds
214,Roma,US,43.2128,-75.4557,76.66,88,0,4.61,clear sky
215,Hirara,JP,24.8,125.2833,88.07,70,75,6.91,broken clouds
216,Havre-Saint-Pierre,CA,50.2334,-63.5986,55.76,82,0,5.75,clear sky
217,Qaanaaq,GL,77.484,-69.3632,39.34,68,9,2.57,clear sky
218,Prince Rupert,CA,54.3161,-130.3201,62.29,84,0,16.11,clear sky
219,Tazovskiy,RU,67.4667,78.7,54.12,96,100,10.65,light rain
220,Neiafu,TO,-18.65,-173.9833,81.28,83,75,9.22,broken clouds
221,New Norfolk,AU,-42.7826,147.0587,48.7,64,54,1.99,broken clouds
222,Itupiranga,BR,-5.1347,-49.3267,82.72,78,94,1.79,overcast clouds
223,Nemuro,JP,43.3236,145.575,60.12,76,100,7.85,overcast clouds
224,Santiago,CL,-33.4569,-70.6483,53.85,57,0,3.44,clear sky
225,Zhangjiakou,CN,40.81,114.8794,86.61,38,60,6.6,broken clouds
226,Castro,BR,-24.7911,-50.0119,52.77,74,3,5.03,clear sky
227,Mayumba,GA,-3.432,10.6554,67.84,92,11,4.36,few clouds
228,Novikovo,RU,51.1537,37.8879,68.81,62,78,8.21,broken clouds
229,Usinsk,RU,65.9939,57.5281,63.88,79,38,7.65,scattered clouds
230,Niesky,DE,51.2924,14.8211,61.66,90,100,8.3,overcast clouds
231,Teya,RU,60.3778,92.6267,56.01,64,100,3.47,overcast clouds
232,Sabzevar,IR,36.2126,57.6819,76.28,29,0,9.22,clear sky
233,Mykolayivka,UA,47.5414,30.7561,70.72,70,62,8.1,broken clouds
234,Namibe,AO,-15.1961,12.1522,61.3,85,3,4.12,clear sky
235,Kavieng,PG,-2.5744,150.7967,83.8,68,98,3.09,overcast clouds
236,La Rioja,ES,42.25,-2.5,60.58,97,25,3.02,scattered clouds
237,Libreville,GA,0.3925,9.4537,75.22,78,75,9.22,broken clouds
238,Sola,VU,-13.8833,167.55,80.73,76,90,17.25,overcast clouds
239,Petropavlovka,RU,50.6114,105.3196,55.08,87,100,6.62,overcast clouds
240,Goundi,TD,9.3627,17.366,71.15,99,94,4.61,light rain
241,Bubaque,GW,11.2833,-15.8333,78.93,83,100,10.96,light rain
242,Poum,NC,-20.2333,164.0167,76.53,79,11,5.88,few clouds
243,Quang Ngai,VN,15.1167,108.8,85.64,66,99,2.55,overcast clouds
244,Kulhudhuffushi,MV,6.6221,73.07,80.1,81,100,17.38,overcast clouds
245,Saint-Raphael,HT,19.4333,-72.2,73.17,87,53,5.68,broken clouds
246,Batagay,RU,67.6333,134.6333,51.69,85,100,3.31,overcast clouds
247,Bama,NG,11.5221,13.6856,71.53,86,98,8.95,overcast clouds
248,Port-Gentil,GA,-0.7193,8.7815,73.71,81,100,13.56,overcast clouds
249,Zykovo,RU,55.9519,93.1461,54.34,68,18,6.73,few clouds
250,Kirakira,SB,-10.4544,161.9205,85.32,69,93,13.38,overcast clouds
251,Laguna,US,38.421,-121.4238,90.45,50,0,16.11,clear sky
252,Vardo,NO,70.3705,31.1107,51.78,87,100,3.44,overcast clouds
253,Miri,MY,4.4148,114.0089,75.34,94,40,9.22,light rain
254,Anchorage,US,61.2181,-149.9003,64.72,68,40,25.32,scattered clouds
255,Paita,PE,-5.0892,-81.1144,63.46,82,100,15.52,overcast clouds
256,Olinda,BR,-8.0089,-34.8553,74.93,83,75,4.61,broken clouds
257,Morondava,MG,-20.2833,44.2833,64.87,82,0,8.75,clear sky
258,Yaan,NG,7.3833,8.5667,73.18,86,100,3.96,overcast clouds
259,Denpasar,ID,-8.65,115.2167,76.71,88,40,4.61,scattered clouds
260,Hobyo,SO,5.3505,48.5268,75.43,84,77,22.41,broken clouds
261,Borogontsy,RU,62.6683,131.1683,69.93,60,100,13.47,overcast clouds
262,Belmonte,BR,-15.8631,-38.8828,72.57,81,19,9.31,few clouds
263,Ulladulla,AU,-35.35,150.4667,61.7,48,7,13.71,clear sky
264,Celestun,MX,20.8667,-90.4,82.06,74,41,12.95,scattered clouds
265,Sorland,NO,67.667,12.6934,51.66,89,100,30.53,overcast clouds
266,Sinjar,IQ,36.3209,41.8754,91.11,23,4,9.89,clear sky
267,Korla,CN,41.7597,86.1469,88.57,23,63,11.7,broken clouds
268,Carhuaz,PE,-9.2819,-77.6447,55.27,85,98,2.93,light rain
269,Saldanha,ZA,-33.0117,17.9442,48.25,93,3,11.16,clear sky
270,Anadyr,RU,64.75,177.4833,59.5,54,40,17.9,scattered clouds
271,Dongsheng,CN,39.8161,109.9776,82.62,53,85,13.73,overcast clouds
272,Saint-Georges,GD,12.0564,-61.7485,80.28,89,20,19.57,few clouds
273,Okhotsk,RU,59.3833,143.3,57.24,87,100,17.0,overcast clouds
274,Port Elizabeth,ZA,-33.918,25.5701,55.69,84,0,8.05,clear sky
275,Lata,PT,40.1629,-8.3327,66.81,94,6,0.43,clear sky
276,Uravakonda,IN,14.95,77.2667,74.98,80,100,17.6,overcast clouds
277,Georgetown,MY,5.4112,100.3354,83.89,86,20,3.44,few clouds
278,Broken Hill,AU,-31.95,141.4333,57.22,46,0,19.84,clear sky
279,Saskylakh,RU,71.9167,114.0833,61.25,61,0,8.1,clear sky
280,Gejiu,CN,23.306,103.1635,59.11,96,100,1.14,overcast clouds
